2021-11-15 14:52:46,090 INFO     Initialized Object of Desktop Assistant
2021-11-15 14:52:46,104 DEBUG     wrap_outparam(<POINTER(ISpeechObjectTokens) ptr=0x1f02b9a8a60 at 1f02b87b1c8>)
2021-11-15 14:52:46,105 DEBUG     Release <POINTER(IUnknown) ptr=0x1f02b9a8130 at 1f02b87b648>
2021-11-15 14:52:46,105 DEBUG     wrap_outparam(<POINTER(IDispatch) ptr=0x1f02b9a8bc0 at 1f02b87b2c8>)
2021-11-15 14:52:46,106 DEBUG     GetBestInterface(<POINTER(IDispatch) ptr=0x1f02b9a8bc0 at 1f02b87b2c8>)
2021-11-15 14:52:46,106 DEBUG     Does NOT implement IProvideClassInfo, trying IProvideClassInfo2
2021-11-15 14:52:46,106 DEBUG     Does NOT implement IProvideClassInfo/IProvideClassInfo2
2021-11-15 14:52:46,107 DEBUG     Release <POINTER(IUnknown) ptr=0x1f02b0af9b0 at 1f02b87b6c8>
2021-11-15 14:52:46,107 DEBUG     Default interface is {C74A3ADC-B727-4500-A84A-B526721C8B8C}
2021-11-15 14:52:46,107 DEBUG     Release <POINTER(IUnknown) ptr=0x1f02b9a8bc0 at 1f02b87b7c8>
2021-11-15 14:52:46,107 DEBUG     GetModule(TLIBATTR(GUID={C866CA3A-32F7-11D2-9602-00C04F8EE628}, Version=5.4, LCID=0, FLags=0x8))
2021-11-15 14:52:46,108 DEBUG     Implements default interface from typeinfo <class 'comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4.ISpeechObjectToken'>
2021-11-15 14:52:46,108 DEBUG     Final result is <POINTER(ISpeechObjectToken) ptr=0x1f02b9a8bc0 at 1f02b87b6c8>
2021-11-15 14:52:46,108 DEBUG     Release <POINTER(IDispatch) ptr=0x1f02b9a8bc0 at 1f02b87b348>
2021-11-15 14:52:46,109 DEBUG     Release <POINTER(ITypeInfo) ptr=0x1f02b0af9b0 at 1f02b87b748>
2021-11-15 14:52:46,109 DEBUG     Release <POINTER(ITypeLib) ptr=0x1f02ad779f0 at 1f02b87b7c8>
2021-11-15 14:52:46,109 DEBUG     Release <POINTER(IDispatch) ptr=0x1f02b9a8bc0 at 1f02b87b2c8>
2021-11-15 14:52:46,109 DEBUG     wrap_outparam(<POINTER(IDispatch) ptr=0x1f02b9a8cc0 at 1f02b87b2c8>)
2021-11-15 14:52:46,109 DEBUG     GetBestInterface(<POINTER(IDispatch) ptr=0x1f02b9a8cc0 at 1f02b87b2c8>)
2021-11-15 14:52:46,110 DEBUG     Does NOT implement IProvideClassInfo, trying IProvideClassInfo2
2021-11-15 14:52:46,110 DEBUG     Does NOT implement IProvideClassInfo/IProvideClassInfo2
2021-11-15 14:52:46,110 DEBUG     Release <POINTER(IUnknown) ptr=0x1f02b0af9b0 at 1f02b87b5c8>
2021-11-15 14:52:46,110 DEBUG     Default interface is {C74A3ADC-B727-4500-A84A-B526721C8B8C}
2021-11-15 14:52:46,110 DEBUG     Release <POINTER(IUnknown) ptr=0x1f02b9a8cc0 at 1f02b87b848>
